,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9
0,20.0,25.0,27.0,26.0,30.0,27.0,25.0,24.0,28.0,23.0
1,28.0,24.0,26.0,29.0,24.0,23.0,25.0,24.0,28.0,30.0
2,24.0,37.0,25.0,0.0,19.0,23.0,23.0,23.0,18.0,22.0
3,23.0,28.0,24.0,17.0,26.0,24.0,32.0,20.0,24.0,27.0
4,33.0,25.0,32.0,19.0,19.0,24.0,26.0,24.0,31.0,18.0
5,31.0,25.0,13.0,19.0,22.0,22.0,27.0,29.0,22.0,26.0
6,22.0,35.0,32.0,18.0,29.0,31.0,23.0,22.0,40.0,21.0
7,16.0,35.0,25.0,27.0,32.0,26.0,24.0,21.0,18.0,26.0
8,29.0,28.0,27.0,30.0,24.0,28.0,24.0,31.0,22.0,31.0
9,25.0,21.0,23.0,15.0,23.0,18.0,23.0,25.0,28.0,22.0
10,22.0,32.0,30.0,38.0,27.0,28.0,22.0,29.0,26.0,35.0
11,20.0,27.0,32.0,18.0,27.0,14.0,25.0,24.0,23.0,31.0
12,25.0,22.0,24.0,15.0,25.0,20.0,20.0,13.0,28.0,19.0
13,32.0,25.0,31.0,15.0,26.0,22.0,27.0,23.0,33.0,27.0
14,23.0,22.0,27.0,30.0,20.0,26.0,17.0,27.0,31.0,33.0
15,24.0,22.0,21.0,22.0,24.0,26.0,18.0,19.0,19.0,27.0
16,24.0,29.0,31.0,31.0,25.0,30.0,0.0,22.0,26.0,25.0
17,22.0,33.0,24.0,24.0,31.0,37.0,30.0,32.0,23.0,20.0
18,13.0,27.0,27.0,25.0,22.0,19.0,24.0,35.0,23.0,24.0
19,30.0,19.0,24.0,21.0,29.0,24.0,29.0,23.0,23.0,26.0
20,31.0,23.0,25.0,24.0,29.0,33.0,20.0,28.0,24.0,22.0
21,24.0,28.0,26.0,37.0,24.0,26.0,27.0,27.0,26.0,18.0
22,21.0,20.0,28.0,22.0,24.0,22.0,25.0,30.0,18.0,26.0
23,25.0,32.0,29.0,19.0,25.0,21.0,23.0,35.0,18.0,29.0
24,29.0,20.0,24.0,23.0,36.0,17.0,19.0,31.0,24.0,19.0
25,21.0,24.0,28.0,20.0,37.0,37.0,22.0,26.0,29.0,22.0
26,23.0,21.0,21.0,24.0,22.0,15.0,19.0,25.0,31.0,30.0
27,29.0,30.0,29.0,25.0,27.0,37.0,22.0,24.0,22.0,19.0
28,18.0,25.0,25.0,36.0,17.0,22.0,17.0,26.0,32.0,18.0
29,27.0,17.0,21.0,38.0,23.0,26.0,20.0,19.0,22.0,18.0
30,16.0,20.0,16.0,29.0,28.0,22.0,23.0,27.0,24.0,27.0
31,37.0,18.0,18.0,18.0,21.0,28.0,32.0,28.0,15.0,24.0
32,23.0,17.0,26.0,22.0,25.0,24.0,22.0,24.0,23.0,21.0
33,30.0,28.0,25.0,28.0,29.0,24.0,29.0,30.0,27.0,20.0
34,17.0,26.0,23.0,29.0,21.0,27.0,28.0,24.0,24.0,23.0
35,26.0,34.0,22.0,13.0,25.0,23.0,24.0,23.0,27.0,38.0
36,23.0,22.0,31.0,22.0,24.0,21.0,32.0,26.0,28.0,21.0
37,30.0,24.0,29.0,26.0,26.0,28.0,22.0,22.0,31.0,22.0
38,24.0,30.0,35.0,27.0,23.0,29.0,19.0,28.0,24.0,30.0
39,19.0,28.0,17.0,29.0,27.0,27.0,0.0,28.0,25.0,30.0
40,28.0,24.0,19.0,0.0,25.0,25.0,27.0,20.0,23.0,22.0
41,27.0,20.0,21.0,26.0,30.0,30.0,35.0,36.0,25.0,20.0
42,18.0,31.0,24.0,15.0,30.0,26.0,27.0,36.0,29.0,25.0
43,24.0,29.0,20.0,27.0,27.0,28.0,26.0,29.0,24.0,20.0
44,18.0,23.0,29.0,31.0,26.0,18.0,36.0,23.0,15.0,23.0
45,23.0,31.0,27.0,29.0,20.0,37.0,32.0,26.0,28.0,26.0
46,18.0,24.0,18.0,19.0,26.0,35.0,27.0,32.0,25.0,28.0
47,25.0,31.0,20.0,0.0,29.0,25.0,24.0,21.0,35.0,28.0
48,22.0,30.0,26.0,28.0,15.0,19.0,25.0,27.0,26.0,16.0
49,32.0,24.0,34.0,24.0,25.0,24.0,27.0,22.0,17.0,18.0
50,30.0,21.0,26.0,27.0,19.0,25.0,22.0,30.0,30.0,29.0
51,24.0,29.0,32.0,27.0,24.0,23.0,24.0,27.0,27.0,24.0
52,22.0,24.0,21.0,22.0,18.0,34.0,27.0,34.0,31.0,17.0
53,29.0,25.0,33.0,32.0,25.0,21.0,19.0,26.0,30.0,19.0
54,30.0,17.0,19.0,18.0,22.0,24.0,28.0,21.0,26.0,25.0
55,16.0,29.0,21.0,26.0,23.0,25.0,17.0,31.0,29.0,33.0
56,31.0,26.0,21.0,25.0,24.0,29.0,30.0,20.0,21.0,31.0
57,25.0,21.0,29.0,27.0,29.0,25.0,23.0,28.0,19.0,20.0
58,23.0,22.0,23.0,20.0,0.0,27.0,33.0,29.0,26.0,26.0
59,26.0,18.0,26.0,23.0,21.0,21.0,34.0,21.0,20.0,15.0
60,19.0,17.0,31.0,29.0,21.0,34.0,24.0,25.0,31.0,28.0
61,32.0,31.0,20.0,22.0,25.0,31.0,26.0,27.0,20.0,28.0
62,24.0,25.0,31.0,24.0,24.0,27.0,23.0,31.0,22.0,20.0
63,28.0,22.0,27.0,21.0,21.0,30.0,28.0,28.0,21.0,17.0
64,34.0,28.0,24.0,25.0,18.0,21.0,27.0,32.0,27.0,30.0
65,30.0,34.0,15.0,29.0,28.0,34.0,23.0,23.0,29.0,18.0
66,21.0,25.0,25.0,14.0,32.0,25.0,33.0,21.0,15.0,14.0
67,20.0,22.0,18.0,31.0,0.0,35.0,24.0,27.0,28.0,25.0
68,29.0,22.0,30.0,17.0,18.0,23.0,25.0,21.0,23.0,18.0
69,18.0,27.0,20.0,21.0,25.0,31.0,25.0,26.0,21.0,27.0
70,21.0,20.0,19.0,21.0,25.0,21.0,29.0,24.0,23.0,23.0
71,26.0,26.0,22.0,24.0,18.0,25.0,16.0,33.0,24.0,33.0
72,33.0,39.0,36.0,21.0,19.0,25.0,27.0,23.0,22.0,15.0
73,30.0,20.0,30.0,32.0,21.0,25.0,25.0,18.0,24.0,22.0
74,30.0,20.0,26.0,21.0,24.0,29.0,28.0,27.0,27.0,27.0
75,19.0,18.0,31.0,23.0,23.0,17.0,33.0,25.0,23.0,24.0
76,34.0,18.0,29.0,26.0,21.0,25.0,21.0,24.0,22.0,26.0
77,30.0,30.0,29.0,25.0,34.0,26.0,25.0,27.0,22.0,20.0
78,23.0,28.0,25.0,22.0,23.0,22.0,29.0,23.0,23.0,22.0
79,17.0,22.0,23.0,18.0,19.0,28.0,17.0,32.0,24.0,28.0
80,31.0,13.0,30.0,13.0,32.0,15.0,19.0,25.0,26.0,28.0
81,20.0,26.0,30.0,16.0,28.0,0.0,29.0,21.0,17.0,33.0
82,30.0,25.0,18.0,30.0,24.0,22.0,27.0,25.0,22.0,14.0
83,20.0,19.0,23.0,22.0,32.0,20.0,26.0,26.0,31.0,21.0
84,18.0,23.0,20.0,24.0,20.0,32.0,23.0,24.0,40.0,28.0
85,24.0,19.0,25.0,13.0,36.0,24.0,27.0,22.0,34.0,27.0
86,21.0,26.0,34.0,25.0,22.0,30.0,20.0,31.0,23.0,26.0
87,33.0,20.0,25.0,21.0,35.0,30.0,33.0,27.0,23.0,25.0
88,27.0,34.0,26.0,25.0,25.0,23.0,22.0,23.0,30.0,28.0
89,33.0,24.0,28.0,26.0,28.0,21.0,20.0,32.0,18.0,24.0
90,22.0,34.0,29.0,20.0,27.0,30.0,14.0,29.0,23.0,20.0
91,34.0,24.0,25.0,23.0,18.0,25.0,27.0,35.0,29.0,17.0
92,25.0,26.0,20.0,26.0,26.0,25.0,34.0,24.0,17.0,27.0
93,37.0,11.0,30.0,32.0,27.0,24.0,24.0,21.0,25.0,22.0
94,22.0,27.0,33.0,25.0,32.0,17.0,23.0,26.0,28.0,24.0
95,24.0,27.0,23.0,27.0,33.0,24.0,36.0,21.0,25.0,28.0
96,17.0,31.0,20.0,25.0,28.0,28.0,31.0,26.0,32.0,29.0
97,34.0,24.0,22.0,22.0,20.0,20.0,0.0,21.0,26.0,29.0
98,21.0,22.0,30.0,22.0,19.0,19.0,13.0,19.0,27.0,26.0
99,26.0,21.0,41.0,17.0,27.0,25.0,26.0,32.0,20.0,18.0
100,24.0,23.0,19.0,31.0,29.0,23.0,23.0,26.0,26.0,17.0
101,19.0,23.0,25.0,26.0,20.0,20.0,21.0,26.0,23.0,24.0
102,29.0,18.0,24.0,29.0,24.0,22.0,20.0,29.0,22.0,22.0
103,33.0,25.0,19.0,21.0,25.0,19.0,29.0,31.0,30.0,25.0
104,29.0,24.0,22.0,28.0,27.0,36.0,30.0,24.0,23.0,23.0
105,28.0,22.0,31.0,34.0,28.0,35.0,19.0,18.0,26.0,31.0
106,29.0,17.0,33.0,27.0,16.0,29.0,24.0,16.0,28.0,26.0
107,33.0,24.0,27.0,27.0,23.0,32.0,28.0,23.0,28.0,29.0
108,30.0,23.0,19.0,16.0,33.0,18.0,38.0,25.0,39.0,21.0
109,29.0,26.0,20.0,27.0,16.0,18.0,28.0,26.0,28.0,28.0
110,23.0,26.0,26.0,25.0,31.0,22.0,25.0,33.0,19.0,24.0
111,24.0,31.0,23.0,21.0,20.0,33.0,24.0,25.0,27.0,22.0
112,18.0,26.0,29.0,30.0,23.0,28.0,21.0,22.0,28.0,27.0
113,32.0,27.0,13.0,32.0,29.0,29.0,31.0,31.0,24.0,21.0
114,19.0,24.0,25.0,22.0,23.0,25.0,25.0,16.0,27.0,30.0
115,20.0,25.0,25.0,22.0,24.0,23.0,21.0,20.0,22.0,21.0
116,26.0,23.0,24.0,26.0,33.0,22.0,21.0,20.0,24.0,28.0
117,18.0,20.0,20.0,34.0,18.0,0.0,26.0,26.0,26.0,35.0
118,26.0,25.0,32.0,25.0,15.0,21.0,25.0,24.0,23.0,35.0
119,27.0,23.0,34.0,34.0,27.0,32.0,29.0,23.0,26.0,32.0
120,20.0,22.0,21.0,28.0,29.0,24.0,31.0,24.0,29.0,26.0
121,22.0,21.0,24.0,26.0,29.0,19.0,20.0,30.0,31.0,29.0
122,26.0,25.0,22.0,34.0,25.0,22.0,19.0,22.0,34.0,15.0
123,19.0,20.0,20.0,26.0,21.0,22.0,33.0,21.0,28.0,23.0
124,30.0,19.0,25.0,28.0,24.0,32.0,21.0,20.0,25.0,25.0
125,34.0,27.0,19.0,34.0,25.0,25.0,23.0,21.0,27.0,23.0
126,23.0,27.0,26.0,17.0,24.0,19.0,24.0,19.0,24.0,20.0
127,24.0,29.0,25.0,35.0,25.0,26.0,25.0,22.0,22.0,18.0
128,24.0,35.0,26.0,32.0,29.0,17.0,27.0,31.0,18.0,22.0
129,19.0,18.0,17.0,21.0,32.0,0.0,30.0,18.0,28.0,33.0
130,25.0,22.0,21.0,20.0,21.0,26.0,22.0,26.0,25.0,29.0
131,25.0,26.0,20.0,21.0,22.0,21.0,31.0,21.0,29.0,25.0
132,21.0,24.0,26.0,28.0,25.0,29.0,28.0,30.0,23.0,15.0
133,23.0,27.0,20.0,32.0,21.0,25.0,18.0,22.0,19.0,24.0
134,27.0,19.0,22.0,26.0,24.0,29.0,16.0,22.0,29.0,24.0
135,28.0,20.0,24.0,18.0,30.0,28.0,19.0,21.0,26.0,28.0
136,24.0,29.0,15.0,20.0,27.0,26.0,26.0,22.0,25.0,23.0
137,30.0,29.0,27.0,30.0,21.0,29.0,26.0,24.0,21.0,31.0
138,30.0,21.0,31.0,29.0,31.0,25.0,35.0,33.0,17.0,18.0
139,29.0,21.0,35.0,23.0,17.0,28.0,17.0,23.0,27.0,22.0
140,34.0,25.0,29.0,23.0,17.0,18.0,22.0,27.0,24.0,33.0
141,23.0,28.0,30.0,0.0,33.0,25.0,18.0,27.0,30.0,21.0
142,22.0,24.0,26.0,27.0,22.0,19.0,0.0,29.0,24.0,21.0
143,27.0,24.0,31.0,32.0,33.0,15.0,27.0,25.0,28.0,28.0
144,29.0,26.0,20.0,23.0,29.0,19.0,26.0,21.0,30.0,29.0
145,28.0,21.0,21.0,29.0,24.0,27.0,34.0,24.0,29.0,21.0
146,26.0,32.0,18.0,25.0,0.0,35.0,23.0,22.0,21.0,28.0
147,29.0,26.0,25.0,0.0,23.0,28.0,37.0,25.0,25.0,33.0
148,35.0,30.0,30.0,16.0,31.0,29.0,20.0,29.0,17.0,32.0
149,17.0,23.0,26.0,27.0,25.0,24.0,19.0,18.0,28.0,24.0
150,20.0,25.0,27.0,22.0,21.0,30.0,23.0,29.0,34.0,27.0
151,29.0,19.0,22.0,31.0,16.0,25.0,25.0,27.0,28.0,21.0
152,23.0,20.0,32.0,22.0,19.0,28.0,27.0,25.0,24.0,28.0
153,28.0,30.0,30.0,18.0,27.0,36.0,23.0,24.0,19.0,25.0
154,28.0,27.0,27.0,25.0,25.0,26.0,21.0,24.0,33.0,27.0
155,24.0,24.0,12.0,33.0,23.0,21.0,29.0,18.0,26.0,16.0
156,29.0,26.0,31.0,22.0,24.0,28.0,21.0,19.0,23.0,17.0
157,28.0,24.0,32.0,29.0,18.0,22.0,33.0,27.0,29.0,31.0
158,29.0,26.0,25.0,23.0,22.0,33.0,23.0,21.0,23.0,18.0
159,26.0,25.0,30.0,26.0,34.0,35.0,32.0,30.0,29.0,19.0
160,23.0,26.0,31.0,31.0,29.0,30.0,24.0,27.0,18.0,25.0
161,23.0,28.0,30.0,30.0,25.0,19.0,24.0,26.0,28.0,35.0
162,30.0,23.0,20.0,26.0,19.0,20.0,23.0,29.0,29.0,19.0
163,22.0,24.0,24.0,19.0,24.0,25.0,22.0,30.0,39.0,31.0
164,28.0,20.0,19.0,27.0,22.0,19.0,29.0,31.0,24.0,15.0
165,24.0,29.0,26.0,23.0,16.0,21.0,24.0,28.0,21.0,27.0
166,31.0,25.0,21.0,23.0,33.0,22.0,25.0,28.0,23.0,27.0
167,18.0,25.0,23.0,23.0,25.0,20.0,29.0,26.0,25.0,31.0
168,26.0,26.0,35.0,28.0,22.0,31.0,27.0,24.0,42.0,18.0
169,20.0,33.0,30.0,32.0,21.0,24.0,23.0,28.0,30.0,32.0
170,23.0,21.0,34.0,27.0,26.0,33.0,28.0,20.0,26.0,30.0
171,12.0,16.0,28.0,29.0,27.0,30.0,25.0,26.0,26.0,26.0
172,19.0,22.0,30.0,24.0,23.0,33.0,29.0,25.0,32.0,36.0
173,31.0,33.0,24.0,23.0,32.0,21.0,28.0,21.0,21.0,28.0
174,20.0,22.0,23.0,27.0,31.0,17.0,32.0,11.0,28.0,21.0
175,22.0,23.0,25.0,30.0,25.0,25.0,31.0,32.0,20.0,19.0
176,20.0,32.0,36.0,23.0,24.0,21.0,18.0,34.0,31.0,32.0
177,30.0,16.0,14.0,24.0,31.0,19.0,25.0,26.0,18.0,23.0
178,28.0,28.0,33.0,23.0,30.0,29.0,16.0,24.0,30.0,23.0
179,20.0,22.0,26.0,22.0,17.0,19.0,22.0,31.0,34.0,22.0
180,12.0,18.0,28.0,20.0,25.0,17.0,26.0,20.0,25.0,26.0
181,17.0,17.0,21.0,27.0,22.0,25.0,25.0,21.0,25.0,28.0
182,23.0,34.0,22.0,27.0,37.0,32.0,17.0,22.0,28.0,22.0
183,28.0,25.0,21.0,20.0,30.0,23.0,17.0,16.0,34.0,23.0
184,34.0,19.0,14.0,30.0,25.0,35.0,33.0,32.0,18.0,21.0
185,24.0,14.0,23.0,24.0,25.0,24.0,31.0,28.0,26.0,22.0
186,18.0,35.0,20.0,27.0,20.0,24.0,24.0,30.0,19.0,24.0
187,14.0,19.0,30.0,28.0,21.0,21.0,19.0,28.0,16.0,20.0
188,28.0,25.0,32.0,25.0,21.0,23.0,33.0,26.0,23.0,24.0
189,25.0,19.0,32.0,29.0,24.0,35.0,20.0,27.0,14.0,28.0
190,33.0,23.0,15.0,26.0,26.0,21.0,24.0,21.0,23.0,28.0
191,25.0,31.0,24.0,23.0,25.0,36.0,22.0,34.0,26.0,31.0
192,28.0,30.0,16.0,25.0,22.0,27.0,25.0,23.0,36.0,20.0
193,27.0,24.0,19.0,28.0,32.0,19.0,21.0,25.0,30.0,17.0
194,30.0,35.0,23.0,26.0,20.0,23.0,20.0,22.0,21.0,17.0
195,31.0,33.0,18.0,24.0,23.0,19.0,31.0,23.0,29.0,25.0
196,29.0,21.0,28.0,20.0,21.0,13.0,23.0,17.0,24.0,22.0
197,22.0,31.0,25.0,22.0,18.0,24.0,23.0,10.0,31.0,21.0
198,20.0,29.0,12.0,27.0,24.0,29.0,26.0,17.0,26.0,24.0
199,31.0,19.0,24.0,31.0,20.0,29.0,24.0,29.0,28.0,20.0
200,22.0,25.0,23.0,22.0,37.0,30.0,16.0,24.0,31.0,28.0
201,23.0,24.0,20.0,23.0,36.0,20.0,26.0,19.0,28.0,14.0
202,26.0,37.0,19.0,25.0,26.0,18.0,23.0,23.0,19.0,24.0
203,29.0,31.0,28.0,23.0,32.0,27.0,20.0,33.0,24.0,25.0
204,23.0,33.0,41.0,25.0,16.0,35.0,32.0,31.0,21.0,25.0
205,25.0,21.0,24.0,31.0,14.0,33.0,26.0,25.0,18.0,29.0
206,29.0,20.0,26.0,22.0,24.0,19.0,17.0,27.0,27.0,25.0
207,28.0,24.0,24.0,23.0,33.0,20.0,39.0,18.0,24.0,20.0
208,22.0,22.0,28.0,26.0,25.0,20.0,21.0,35.0,33.0,28.0
209,15.0,28.0,22.0,21.0,22.0,24.0,20.0,29.0,18.0,19.0
210,18.0,27.0,28.0,31.0,24.0,24.0,26.0,24.0,37.0,30.0
211,11.0,25.0,25.0,39.0,25.0,26.0,28.0,22.0,33.0,24.0
212,26.0,25.0,27.0,24.0,25.0,23.0,40.0,21.0,31.0,23.0
213,21.0,21.0,25.0,41.0,24.0,22.0,21.0,38.0,17.0,29.0
214,35.0,16.0,30.0,25.0,34.0,23.0,28.0,26.0,19.0,30.0
215,19.0,26.0,27.0,27.0,24.0,25.0,32.0,28.0,17.0,21.0
216,18.0,24.0,26.0,22.0,19.0,26.0,20.0,21.0,15.0,25.0
217,24.0,13.0,24.0,0.0,32.0,28.0,17.0,21.0,23.0,29.0
218,36.0,25.0,23.0,25.0,35.0,30.0,38.0,24.0,20.0,24.0
219,31.0,30.0,21.0,25.0,33.0,24.0,23.0,29.0,28.0,22.0
220,20.0,25.0,28.0,24.0,0.0,25.0,24.0,28.0,30.0,24.0
221,25.0,27.0,23.0,29.0,26.0,0.0,21.0,26.0,30.0,20.0
222,19.0,27.0,22.0,22.0,26.0,18.0,21.0,22.0,37.0,19.0
223,28.0,32.0,30.0,37.0,25.0,25.0,15.0,18.0,27.0,31.0
224,27.0,31.0,22.0,32.0,22.0,23.0,26.0,27.0,26.0,25.0
225,28.0,30.0,33.0,12.0,30.0,20.0,16.0,26.0,34.0,26.0
226,26.0,26.0,26.0,26.0,21.0,29.0,29.0,19.0,19.0,38.0
227,29.0,20.0,21.0,32.0,30.0,28.0,26.0,22.0,20.0,22.0
228,32.0,17.0,33.0,31.0,23.0,28.0,32.0,23.0,20.0,25.0
229,20.0,13.0,26.0,0.0,28.0,21.0,23.0,17.0,33.0,18.0
230,32.0,24.0,21.0,24.0,47.0,34.0,31.0,25.0,19.0,32.0
231,29.0,18.0,26.0,19.0,0.0,0.0,23.0,30.0,16.0,21.0
232,21.0,27.0,27.0,14.0,0.0,18.0,18.0,22.0,27.0,16.0
233,28.0,33.0,15.0,11.0,26.0,19.0,23.0,33.0,30.0,27.0
234,30.0,16.0,32.0,20.0,34.0,22.0,21.0,21.0,24.0,18.0
235,30.0,28.0,16.0,16.0,23.0,21.0,27.0,13.0,27.0,22.0
236,32.0,22.0,21.0,25.0,26.0,30.0,33.0,34.0,22.0,22.0
237,29.0,35.0,20.0,29.0,26.0,31.0,30.0,29.0,23.0,32.0
238,26.0,32.0,23.0,26.0,34.0,29.0,22.0,27.0,23.0,41.0
239,22.0,29.0,27.0,19.0,25.0,15.0,31.0,25.0,25.0,28.0
