,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9
240,21.0,24.0,24.0,19.0,31.0,32.0,31.0,27.0,29.0,25.0
241,21.0,23.0,26.0,26.0,19.0,29.0,21.0,27.0,18.0,20.0
242,31.0,28.0,28.0,23.0,25.0,22.0,26.0,30.0,26.0,24.0
243,23.0,27.0,29.0,30.0,31.0,24.0,27.0,14.0,25.0,26.0
244,22.0,27.0,31.0,33.0,19.0,30.0,24.0,23.0,25.0,19.0
245,21.0,21.0,20.0,24.0,24.0,19.0,28.0,19.0,28.0,23.0
246,15.0,17.0,23.0,26.0,25.0,20.0,35.0,23.0,27.0,32.0
247,34.0,29.0,19.0,15.0,28.0,30.0,0.0,16.0,27.0,27.0
248,30.0,20.0,26.0,20.0,23.0,18.0,27.0,28.0,25.0,22.0
249,22.0,24.0,19.0,27.0,0.0,24.0,31.0,28.0,21.0,37.0
250,27.0,28.0,29.0,19.0,21.0,18.0,24.0,33.0,21.0,18.0
251,32.0,27.0,33.0,23.0,16.0,25.0,19.0,27.0,25.0,31.0
252,31.0,17.0,16.0,0.0,18.0,23.0,21.0,27.0,29.0,24.0
253,28.0,27.0,22.0,25.0,17.0,27.0,21.0,22.0,20.0,29.0
254,32.0,21.0,30.0,30.0,24.0,25.0,26.0,23.0,31.0,35.0
255,17.0,29.0,11.0,15.0,39.0,23.0,26.0,23.0,32.0,29.0
256,22.0,22.0,27.0,24.0,29.0,24.0,24.0,22.0,26.0,19.0
257,28.0,33.0,22.0,20.0,21.0,29.0,28.0,29.0,21.0,29.0
258,28.0,36.0,32.0,32.0,26.0,30.0,23.0,30.0,26.0,16.0
259,22.0,24.0,28.0,25.0,25.0,28.0,29.0,19.0,25.0,26.0
260,25.0,37.0,32.0,36.0,20.0,28.0,30.0,26.0,28.0,24.0
261,25.0,27.0,19.0,25.0,31.0,31.0,22.0,28.0,34.0,21.0
262,18.0,32.0,28.0,30.0,21.0,0.0,28.0,28.0,24.0,29.0
263,26.0,22.0,17.0,20.0,27.0,25.0,28.0,26.0,17.0,22.0
264,34.0,26.0,22.0,16.0,27.0,34.0,26.0,25.0,21.0,23.0
265,20.0,34.0,27.0,39.0,25.0,29.0,20.0,18.0,23.0,27.0
266,29.0,34.0,34.0,33.0,25.0,25.0,22.0,22.0,25.0,19.0
267,24.0,23.0,27.0,19.0,26.0,29.0,31.0,26.0,21.0,17.0
268,19.0,30.0,30.0,29.0,26.0,27.0,29.0,24.0,30.0,23.0
269,22.0,31.0,21.0,33.0,29.0,25.0,19.0,25.0,35.0,23.0
270,19.0,18.0,27.0,25.0,26.0,32.0,28.0,16.0,27.0,28.0
271,27.0,33.0,30.0,27.0,17.0,22.0,17.0,26.0,20.0,26.0
272,28.0,24.0,26.0,24.0,19.0,20.0,16.0,24.0,28.0,30.0
273,31.0,21.0,20.0,23.0,28.0,19.0,17.0,8.0,13.0,26.0
274,21.0,18.0,23.0,24.0,24.0,30.0,23.0,26.0,21.0,23.0
275,23.0,16.0,21.0,19.0,11.0,22.0,19.0,36.0,21.0,23.0
276,20.0,24.0,25.0,20.0,23.0,27.0,24.0,25.0,20.0,23.0
277,27.0,25.0,23.0,24.0,27.0,22.0,18.0,21.0,25.0,31.0
278,27.0,20.0,23.0,24.0,37.0,27.0,22.0,27.0,19.0,18.0
279,25.0,21.0,20.0,34.0,20.0,15.0,24.0,15.0,26.0,22.0
280,30.0,27.0,21.0,0.0,26.0,26.0,27.0,25.0,26.0,25.0
281,26.0,28.0,26.0,30.0,34.0,26.0,26.0,28.0,24.0,21.0
282,26.0,30.0,19.0,29.0,23.0,28.0,30.0,15.0,30.0,19.0
283,30.0,34.0,28.0,29.0,29.0,23.0,21.0,25.0,21.0,18.0
284,26.0,25.0,19.0,24.0,19.0,29.0,27.0,26.0,16.0,20.0
285,20.0,21.0,28.0,25.0,26.0,27.0,30.0,32.0,21.0,17.0
286,17.0,21.0,34.0,25.0,20.0,0.0,26.0,30.0,21.0,29.0
287,38.0,25.0,33.0,23.0,12.0,22.0,16.0,23.0,29.0,24.0
288,22.0,27.0,25.0,27.0,30.0,31.0,25.0,32.0,17.0,23.0
289,18.0,19.0,22.0,24.0,27.0,22.0,24.0,18.0,28.0,29.0
290,38.0,33.0,22.0,30.0,26.0,29.0,21.0,23.0,23.0,18.0
291,26.0,20.0,22.0,28.0,18.0,25.0,17.0,27.0,16.0,33.0
292,23.0,17.0,24.0,27.0,28.0,0.0,25.0,25.0,22.0,33.0
293,29.0,26.0,27.0,22.0,23.0,20.0,29.0,36.0,16.0,20.0
294,24.0,20.0,30.0,22.0,26.0,24.0,27.0,29.0,28.0,32.0
295,26.0,26.0,18.0,18.0,37.0,25.0,28.0,20.0,22.0,36.0
296,29.0,28.0,17.0,30.0,25.0,22.0,26.0,22.0,19.0,25.0
297,13.0,20.0,27.0,16.0,22.0,25.0,24.0,30.0,24.0,20.0
298,28.0,14.0,31.0,35.0,31.0,19.0,18.0,25.0,24.0,31.0
299,21.0,25.0,34.0,26.0,25.0,31.0,26.0,31.0,25.0,30.0
